Id,Books,Book checkout,Book Returned,Days allowed to borrow,Customer ID,Days Borrowed
1.0,Catcher in the Rye ,2023-02-20,2023-02-25,2 weeks,1.0,5.0
2.0,Lord of the rings the two towers,2023-03-24,2023-03-21,2 weeks,2.0,-3.0
3.0,Lord of the rings the return of the kind,2023-03-29,2023-03-25,2 weeks,3.0,-4.0
4.0,The hobbit,2023-04-02,2023-03-25,2 weeks,4.0,-8.0
5.0,Dune ,2023-04-02,2023-03-25,2 weeks,5.0,-8.0
6.0,Little Women,2023-04-02,2023-05-01,2 weeks,1.0,29.0
7.0,IT,2063-04-10,2023-04-03,2 weeks,6.0,-14617.0
8.0,Misery ,2023-04-15,2023-04-03,2 weeks,7.0,-12.0
9.0,Catch 22,2023-04-15,2023-04-16,2 weeks,7.0,1.0
10.0,Animal Farm ,2023-04-20,2023-04-24,2 weeks,2.0,4.0
11.0,1984,2023-04-23,2023-04-27,2 weeks,8.0,4.0
12.0,Little Women,2023-04-02,2023-05-01,2 weeks,1.0,29.0
13.0,East of Eden,2023-04-30,2023-05-05,2 weeks,2.0,5.0
14.0,America Is in the Heart,2023-05-01,2023-05-07,2 weeks,3.0,6.0
15.0,Wuthering Heights,2023-05-01,2023-05-10,2 weeks,9.0,9.0
16.0,Dark Tales,2023-05-15,2023-06-01,2 weeks,2.0,17.0
17.0,The Bloody Chamber,,2023-06-04,2 weeks,3.0,
18.0,Les Miserables,2023-06-03,2023-06-07,2 weeks,5.0,4.0
19.0,Dracula,2023-06-10,2023-07-10,2 weeks,10.0,30.0
20.0,Frankenstein,2023-06-01,2023-06-20,2 weeks,2.0,19.0
